start,end,section,visual,direction,audio,label
00:00,00:20,Hook,붉은 궁궐 실루엣+소년 왕 클로즈업,0.5초 단위 빠른 컷,북소리+저음 드론,[실록 기반]
00:20,00:40,Hook,영월 밤하늘+촛불,화면 암전 후 타이틀,심장박동 SFX,
00:40,01:40,Act1 단종 즉위,어좌와 어린 왕 대비,하이앵글→로우앵글,현악 스트링,[실록 기반]
01:40,02:30,Act1 왕위 이양,어명 문서/도장/신하 실루엣,문서 클로즈업,문 닫힘 SFX,[실록 기반]
02:30,03:20,Act2 복위 시도,밀지 전달/추포 장면,핸드헬드 흔들림,긴장 퍼커션,[실록 기반]
03:20,04:20,Act3 단종 최후,빈 방/차가운 달빛,롱테이크,저음 단음,[실록 기반]
04:20,05:20,Act3 사후 정적,아무도 없는 산길,슬로우 줌아웃,바람 소리,
05:20,06:40,Act4 엄흥도 결단,삽 든 실루엣/횃불,명암 대비 강화,심장 박동,[전승 기반]
06:40,07:40,Act4 위험과 침묵,감시/발자국/정지 컷,정지 2프레임 반복,효과음 최소화,[전승 기반]
07:40,08:40,Act5 기억의 복권,장릉/제향 이미지,페이드 인아웃,단소 솔로,[실록+후대기록]
08:40,09:30,Act5 역사적 의미,질문형 자막 2개,텍스트 중심,음악 고조,
09:30,10:00,Ending,다음편 예고(사육신),중앙 타이포,엔딩 시그널,
